cell,y,theta_mean,v,z
ATLANTIDA | 2005-06,-0.5077889775644108,-0.5330830031120002,0.0506264784534809,0.11241624983143496
COLON | 2005-06,-1.2199990895980513,-0.642373768825,0.0600486468049747,-2.3571901095592636
COMAYAGUA | 2005-06,-0.3871439782740151,-0.42480361504974984,0.03936081969306161,0.1898209138698859
COPAN | 2005-06,-0.11228771429096623,-0.4562651859074995,0.057112007900380214,1.439349579987423
CORTES | 2005-06,-0.6084632994383936,-0.40554101326857217,0.05019137312885233,-0.905764317989701
CHOLUTECA | 2005-06,-0.17651129392624756,-0.5559391380300012,0.12075416059879593,1.0918881343796287
EL PARAISO | 2005-06,-0.9096931691033178,-0.6188711377475,0.13256481199391845,-0.7987542344299181
FRANCISCO MORAZAN | 2005-06,-0.5810671632076218,-0.4648855024652501,0.02583104435061967,-0.7228806464324853
INTIBUCA | 2005-06,0.8224114658529637,-0.18013480737417242,0.09471280649547317,3.257617385421365
LA PAZ | 2005-06,-0.5182212874436551,-0.3790166551552033,0.05404116987014975,-0.5988131328366926
LEMPIRA | 2005-06,-0.18621897044019833,-0.3200419502754694,0.0665565109507107,0.5187229016108614
OCOTEPEQUE | 2005-06,-0.3420211770743198,-0.43156372524777536,0.0914733843270387,0.2960615956962838
OLANCHO | 2005-06,-0.4898052542344928,-0.4809151830707498,0.07098067825140822,-0.033368383255707235
SANTA BARBARA | 2005-06,-0.15517838923099506,-0.34784752758150606,0.059508183146522356,0.7898121487060066
VALLE | 2005-06,-0.5459023946371548,-0.5460979260237491,0.0933480622608277,6.399762045523436e-4
YORO | 2005-06,-0.7726714745995996,-0.5397930108199998,0.06138436006973002,-0.939940712937037
ATLANTIDA | 2011-12,-1.2131844382473491,-0.9479959295050006,0.0632012627507798,-1.0548527109990857
COLON | 2011-12,-0.8349994781279658,-1.0572866946075032,0.0420830524933268,1.0835797258842204
COMAYAGUA | 2011-12,-0.5730595161979489,-0.8397165414525001,0.0634315466809386,1.0587669579982
COPAN | 2011-12,-1.0624302436231057,-0.8711781119125002,0.06126467411865246,-0.7726827568558262
CORTES | 2011-12,-0.7349433513061512,-0.8204539393050018,0.04415766279703415,0.40692732490947514
CHOLUTECA | 2011-12,-1.2595520093698105,-0.9708520639750002,0.061376229128503136,-1.1653237574640254
EL PARAISO | 2011-12,-1.3052924648506272,-1.0337840644074971,0.07725208175513196,-0.9768506626530677
FRANCISCO MORAZAN | 2011-12,-0.885760868288907,-0.8797984288399986,0.07033015021585311,-0.022482945572344957
GRACIAS A DIOS | 2011-12,-0.4179596062856177,-0.6771983417327493,0.11303251313085576,0.771077805132808
INTIBUCA | 2011-12,-0.7616175688040002,-0.5950477333563982,0.07429770852749791,-0.6110948826544124
ISLAS DE LA BAHIA | 2011-12,-0.888106752396722,-0.8519833021699977,0.09408147142206959,-0.11777067750683752
LA PAZ | 2011-12,-0.6952366429738279,-0.7939295813839983,0.053866855435829655,0.4252313426520269
LEMPIRA | 2011-12,-0.5030475062727343,-0.7349548763474988,0.0712485919545911,0.8688131944563214
OCOTEPEQUE | 2011-12,-0.9731329401778722,-0.8464766514550021,0.07772407982148108,-0.4543065137087796
OLANCHO | 2011-12,-0.8245746429140409,-0.8958281094250001,0.04397409998114344,0.3397875938220412
SANTA BARBARA | 2011-12,-0.565359707759922,-0.7627604536824996,0.07533449962050652,0.7192035715388965
VALLE | 2011-12,-1.1578767490218604,-0.9610108519775,0.10250075040466422,-0.6149035037232082
YORO | 2011-12,-1.0966099148301134,-0.9547059368674982,0.0884346527105261,-0.4771812085649813
ATLANTIDA | 2019,-1.0328076155267158,-1.0790921426075015,0.14515830408754873,0.12148282646214817
COLON | 2019,-1.479522685258969,-1.1883829077800006,0.08668216875824941,-0.9888642160373377
COMAYAGUA | 2019,-1.605578681865279,-0.9708127547124998,0.14883255060194336,-1.645374053521378
COPAN | 2019,-1.5351326697222432,-1.0022743261325,0.17493664131828807,-1.274005721477506
CORTES | 2019,-0.6816443660003239,-0.951550152277501,0.0722749076692319,1.003964652217379
CHOLUTECA | 2019,-1.3297861716993844,-1.1019482780200047,0.0909718540653073,-0.7553920919952695
EL PARAISO | 2019,-1.219570328192553,-1.1648802761974997,0.07269279564186618,-0.2028442262913031
FRANCISCO MORAZAN | 2019,-0.6238523581901362,-1.0108946421450002,0.096270713727701,1.2474160223799466
GRACIAS A DIOS | 2019,-0.4509777566166128,-0.8082945546924998,0.08884936004752116,1.1987435449463344
INTIBUCA | 2019,-0.5542475342022897,-0.7261439467322501,0.10360542467317925,0.5340421866528452
ISLAS DE LA BAHIA | 2019,-0.8592366605258045,-0.9830795152225006,0.15615026298991905,0.3134004345813532
LA PAZ | 2019,-0.6536616081152856,-0.9250257945749965,0.07838767723662586,0.9692339829580411
LEMPIRA | 2019,-0.9669111416123376,-0.8660510893224993,0.2543082557390612,-0.20000412800217332
OCOTEPEQUE | 2019,-0.7522107589641889,-0.9775728643349977,0.18820552319471254,0.5194750685644616
OLANCHO | 2019,-1.1714555135669855,-1.0269243223024997,0.05288766069842778,-0.628469785559068
SANTA BARBARA | 2019,-1.3035395747596037,-0.8938566668474996,0.20177083727065928,-0.9120499993361887
VALLE | 2019,-1.4111766228996068,-1.0921070654125007,0.178261073862777,-0.7557133787425441
YORO | 2019,-0.9816690682315315,-1.0858021503325008,0.06210356588394026,0.4178596671840589
